,Player,Player City,Country,State,Team City,PER,Player US Full City
288,Zach Collins,Las Vegas,US,NV,San Antonio,16.4,"Las Vegas, NV"
289,Devin Vassell,Lawrenceville,US,GA,San Antonio,13.3,"Lawrenceville, GA"
290,Robert Woodard II,Starkville,US,MS,San Antonio,2.1,"Starkville, MS"
291,Keita Bates-Diop,Bloomington,US,IL,San Antonio,12.4,"Bloomington, IL"
292,Tre Jones,Apple Valley,US,MN,San Antonio,15.0,"Apple Valley, MN"
293,Romeo Langford,New Albany,US,IN,San Antonio,9.2,"New Albany, IN"
294,Darius Bazley,Boston,US,MA,Oklahoma City,12.6,"Boston, MA"
295,Lindy Waters III,Norman,US,OK,Oklahoma City,13.0,"Norman, OK"
296,Derrick Favors,Atlanta,US,GA,Oklahoma City,13.6,"Atlanta, GA"
297,Ty Jerome,New York,US,NY,Oklahoma City,11.3,"New York, NY"
298,Aaron Wiggins,Greensboro,US,NC,Oklahoma City,10.3,"Greensboro, NC"
299,Isaiah Roby,Dixon,US,IL,Oklahoma City,18.3,"Dixon, IL"
300,Tre Mann,Gainesville,US,FL,Oklahoma City,10.2,"Gainesville, FL"
301,Mike Muscala,St. Louis Park,US,MN,Oklahoma City,19.7,"St. Louis Park, MN"
302,Kenrich Williams,Waco,US,TX,Oklahoma City,13.3,"Waco, TX"
303,Jeremiah Robinson-Earl,Kansas City,US,MO,Oklahoma City,11.7,"Kansas City, MO"
304,Armoni Brooks,Waco,US,TX,Toronto,8.4,"Waco, TX"
305,Scottie Barnes,West Palm Beach,US,FL,Toronto,16.3,"West Palm Beach, FL"
306,Justin Champagnie,Brooklyn,US,NY,Toronto,13.6,"Brooklyn, NY"
307,Thaddeus Young,New Orleans,US,LA,Toronto,17.0,"New Orleans, LA"
308,Malachi Flynn,Tacoma,US,WA,Toronto,11.7,"Tacoma, WA"
309,Fred VanVleet,Rockford,US,IL,Toronto,17.3,"Rockford, IL"
310,Gary Trent Jr.,Columbus,US,OH,Toronto,14.7,"Columbus, OH"
311,Eric Paschall,North Tarrytown,US,NY,Utah,13.9,"North Tarrytown, NY"
312,Jordan Clarkson,Tampa,US,FL,Utah,14.9,"Tampa, FL"
313,Trent Forrest,Dothan,US,AL,Utah,10.9,"Dothan, AL"
314,Rudy Gay,Brooklyn,US,NY,Utah,13.0,"Brooklyn, NY"
315,Mike Conley,Fayetteville,US,AR,Utah,17.2,"Fayetteville, AR"
316,Jared Butler,Reserve,US,LA,Utah,12.1,"Reserve, LA"
317,Xavier Sneed,St. Louis,US,MO,Utah,0.4,"St. Louis, MO"
318,Hassan Whiteside,Gastonia,US,NC,Utah,22.9,"Gastonia, NC"
319,Royce O'Neale,Killeen,US,TX,Utah,10.3,"Killeen, TX"
320,Danuel House Jr.,Houston,US,TX,Utah,10.6,"Houston, TX"
321,Donovan Mitchell,Elmsford,US,NY,Utah,21.6,"Elmsford, NY"
322,De'Anthony Melton,North Hollywood,US,CA,Memphis,15.2,"North Hollywood, CA"
323,Kyle Anderson,Fairview,US,NJ,Memphis,14.4,"Fairview, NJ"
324,Tyrell Terry,Minneapolis,US,MN,Memphis,20.0,"Minneapolis, MN"
325,Ziaire Williams,Lancaster,US,CA,Memphis,9.7,"Lancaster, CA"
326,Ja Morant,Dalzell,US,SC,Memphis,24.4,"Dalzell, SC"
327,Jaren Jackson Jr.,Plainfield,US,NJ,Memphis,17.0,"Plainfield, NJ"
328,Tyus Jones,Burnsville,US,MN,Memphis,16.5,"Burnsville, MN"
329,Desmond Bane,Richmond,US,IN,Memphis,17.6,"Richmond, IN"
330,Jarrett Culver,Dallas,US,TX,Memphis,8.7,"Dallas, TX"
